,disYear,disMonth,disDate,disDay,cityCode,citySidoName,citySggName,disQuantity,disQuantityRate,disCount,disCountRate
0,2022,06,01,4,W01,서울특별시,종로구,4205500,3.37,3153,3.4
1,2022,06,02,5,W01,서울특별시,종로구,3787200,3.03,2898,3.12
2,2022,06,03,6,W01,서울특별시,종로구,4018600,3.22,3065,3.3
3,2022,06,04,7,W01,서울특별시,종로구,4337100,3.47,3093,3.33
4,2022,06,05,1,W01,서울특별시,종로구,4051250,3.25,2822,3.04
5,2022,06,06,2,W01,서울특별시,종로구,4973700,3.98,3475,3.74
6,2022,06,07,3,W01,서울특별시,종로구,4536850,3.63,3251,3.5
7,2022,06,08,4,W01,서울특별시,종로구,3784800,3.03,2872,3.09
8,2022,06,09,5,W01,서울특별시,종로구,3803200,3.05,2898,3.12
9,2022,06,10,6,W01,서울특별시,종로구,3592100,2.88,2840,3.06
0,2022,06,01,4,W02,서울특별시,중구,6603750,3.45,5484,3.52
1,2022,06,02,5,W02,서울특별시,중구,6107650,3.19,5197,3.33
2,2022,06,03,6,W02,서울특별시,중구,5677800,2.97,4938,3.17
3,2022,06,04,7,W02,서울특별시,중구,6422250,3.36,5219,3.35
4,2022,06,05,1,W02,서울특별시,중구,6699300,3.5,5273,3.38
5,2022,06,06,2,W02,서울특별시,중구,7513050,3.93,5814,3.73
6,2022,06,07,3,W02,서울특별시,중구,6095750,3.18,5045,3.23
7,2022,06,08,4,W02,서울특별시,중구,5981150,3.12,5070,3.25
8,2022,06,09,5,W02,서울특별시,중구,5646000,2.95,4981,3.19
9,2022,06,10,6,W02,서울특별시,중구,5214750,2.72,4659,2.99
0,2022,06,01,4,W03,서울특별시,용산구,1314500,3.26,1049,3.59
1,2022,06,02,5,W03,서울특별시,용산구,1395550,3.46,908,3.1
2,2022,06,03,6,W03,서울특별시,용산구,1367250,3.39,966,3.3
3,2022,06,04,7,W03,서울특별시,용산구,1385250,3.43,965,3.3
4,2022,06,05,1,W03,서울특별시,용산구,1231250,3.05,950,3.25
5,2022,06,06,2,W03,서울특별시,용산구,1454250,3.6,1049,3.59
6,2022,06,07,3,W03,서울특별시,용산구,1374850,3.41,998,3.41
7,2022,06,08,4,W03,서울특별시,용산구,1240700,3.07,908,3.1
8,2022,06,09,5,W03,서울특별시,용산구,1287800,3.19,984,3.36
9,2022,06,10,6,W03,서울특별시,용산구,1242000,3.08,898,3.07
0,2022,06,01,4,W04,서울특별시,성동구,17990600,3.45,13410,3.38
1,2022,06,02,5,W04,서울특별시,성동구,16396249,3.15,12830,3.24
2,2022,06,03,6,W04,서울특별시,성동구,15580600,2.99,12447,3.14
3,2022,06,04,7,W04,서울특별시,성동구,16971450,3.26,12508,3.16
4,2022,06,05,1,W04,서울특별시,성동구,18281100,3.51,13032,3.29
5,2022,06,06,2,W04,서울특별시,성동구,20105750,3.86,14295,3.61
6,2022,06,07,3,W04,서울특별시,성동구,17544900,3.37,13241,3.34
7,2022,06,08,4,W04,서울특별시,성동구,16070000,3.08,12823,3.24
8,2022,06,09,5,W04,서울특별시,성동구,15969500,3.06,12609,3.18
9,2022,06,10,6,W04,서울특별시,성동구,15085650,2.89,12060,3.04
0,2022,06,01,4,W05,서울특별시,광진구,12043040,3.37,8283,3.36
1,2022,06,02,5,W05,서울특별시,광진구,11264620,3.16,8013,3.25
2,2022,06,03,6,W05,서울특별시,광진구,10829620,3.03,7683,3.11
3,2022,06,04,7,W05,서울특별시,광진구,11818320,3.31,7907,3.21
4,2022,06,05,1,W05,서울특별시,광진구,11545260,3.23,7421,3.01
5,2022,06,06,2,W05,서울특별시,광진구,14194310,3.98,9155,3.71
6,2022,06,07,3,W05,서울특별시,광진구,11730070,3.29,8288,3.36
7,2022,06,08,4,W05,서울특별시,광진구,11375160,3.19,7788,3.16
8,2022,06,09,5,W05,서울특별시,광진구,10427960,2.92,7651,3.1
