,disYear,disMonth,disDate,disDay,cityCode,citySidoName,citySggName,disQuantity,disQuantityRate,disCount,disCountRate
0,2022,02,01,3,W01,서울특별시,종로구,3493700,3.26,2250,3.08
1,2022,02,02,4,W01,서울특별시,종로구,3821750,3.57,2361,3.23
2,2022,02,03,5,W01,서울특별시,종로구,4386200,4.1,2786,3.81
3,2022,02,04,6,W01,서울특별시,종로구,3456350,3.23,2367,3.24
4,2022,02,05,7,W01,서울특별시,종로구,3461800,3.23,2364,3.23
5,2022,02,06,1,W01,서울특별시,종로구,4472140,4.18,2973,4.07
6,2022,02,07,2,W01,서울특별시,종로구,4466250,4.17,2944,4.03
7,2022,02,08,3,W01,서울특별시,종로구,3930150,3.67,2694,3.68
8,2022,02,09,4,W01,서울특별시,종로구,3512950,3.28,2525,3.45
9,2022,02,10,5,W01,서울특별시,종로구,3719650,3.47,2581,3.53
10,2022,02,11,6,W01,서울특별시,종로구,3639150,3.4,2585,3.54
11,2022,02,12,7,W01,서울특별시,종로구,3801750,3.55,2667,3.65
12,2022,02,13,1,W01,서울특별시,종로구,4473300,4.18,2903,3.97
13,2022,02,14,2,W01,서울특별시,종로구,4362550,4.08,2919,3.99
14,2022,02,15,3,W01,서울특별시,종로구,3649700,3.41,2591,3.54
15,2022,02,16,4,W01,서울특별시,종로구,3262100,3.05,2363,3.23
16,2022,02,17,5,W01,서울특별시,종로구,3557250,3.32,2440,3.34
17,2022,02,18,6,W01,서울특별시,종로구,3483800,3.25,2543,3.48
18,2022,02,19,7,W01,서울특별시,종로구,3598600,3.36,2555,3.49
19,2022,02,20,1,W01,서울특별시,종로구,4313500,4.03,2847,3.89
20,2022,02,21,2,W01,서울특별시,종로구,3930850,3.67,2674,3.66
21,2022,02,22,3,W01,서울특별시,종로구,3598210,3.36,2580,3.53
22,2022,02,23,4,W01,서울특별시,종로구,3515150,3.28,2487,3.4
23,2022,02,24,5,W01,서울특별시,종로구,3583750,3.35,2505,3.43
24,2022,02,25,6,W01,서울특별시,종로구,3622300,3.38,2589,3.54
25,2022,02,26,7,W01,서울특별시,종로구,3508650,3.28,2455,3.36
26,2022,02,27,1,W01,서울특별시,종로구,4251000,3.97,2821,3.86
27,2022,02,28,2,W01,서울특별시,종로구,4175800,3.9,2756,3.77
0,2022,02,01,3,W02,서울특별시,중구,5327000,3.14,3565,2.81
1,2022,02,02,4,W02,서울특별시,중구,6591550,3.88,4184,3.3
2,2022,02,03,5,W02,서울특별시,중구,7379000,4.34,4997,3.94
3,2022,02,04,6,W02,서울특별시,중구,5341450,3.15,4101,3.24
4,2022,02,05,7,W02,서울특별시,중구,5454650,3.21,4080,3.22
5,2022,02,06,1,W02,서울특별시,중구,7804900,4.6,5547,4.38
6,2022,02,07,2,W02,서울특별시,중구,6597550,3.88,4859,3.83
7,2022,02,08,3,W02,서울특별시,중구,5735100,3.38,4266,3.37
8,2022,02,09,4,W02,서울특별시,중구,5794200,3.41,4561,3.6
9,2022,02,10,5,W02,서울특별시,중구,6050000,3.56,4690,3.7
10,2022,02,11,6,W02,서울특별시,중구,5420050,3.19,4295,3.39
11,2022,02,12,7,W02,서울특별시,중구,6273100,3.69,4669,3.68
12,2022,02,13,1,W02,서울특별시,중구,7874150,4.64,5688,4.49
13,2022,02,14,2,W02,서울특별시,중구,6329700,3.73,4790,3.78
14,2022,02,15,3,W02,서울특별시,중구,5265650,3.1,4087,3.23
15,2022,02,16,4,W02,서울특별시,중구,5295950,3.12,4125,3.26
16,2022,02,17,5,W02,서울특별시,중구,5464450,3.22,4309,3.4
17,2022,02,18,6,W02,서울특별시,중구,5517700,3.25,4253,3.36
18,2022,02,19,7,W02,서울특별시,중구,5577800,3.28,4210,3.32
19,2022,02,20,1,W02,서울특별시,중구,7429100,4.37,5287,4.17
20,2022,02,21,2,W02,서울특별시,중구,6166100,3.63,4600,3.63
21,2022,02,22,3,W02,서울특별시,중구,5074600,2.99,3979,3.14
22,2022,02,23,4,W02,서울특별시,중구,5486050,3.23,4325,3.41
23,2022,02,24,5,W02,서울특별시,중구,5937350,3.5,4599,3.63
24,2022,02,25,6,W02,서울특별시,중구,5392300,3.18,4217,3.33
25,2022,02,26,7,W02,서울특별시,중구,5580400,3.29,4272,3.37
26,2022,02,27,1,W02,서울특별시,중구,7483350,4.41,5439,4.29
27,2022,02,28,2,W02,서울특별시,중구,6189600,3.64,4725,3.73
