,disYear,disMonth,disDate,disDay,cityCode,citySidoName,citySggName,disQuantity,disQuantityRate,disCount,disCountRate
0,2018,07,01,1,W01,서울특별시,종로구,3114250,3.05,1873,2.73
1,2018,07,02,2,W01,서울특별시,종로구,3566600,3.49,2243,3.27
2,2018,07,03,3,W01,서울특별시,종로구,3526100,3.45,2361,3.44
3,2018,07,04,4,W01,서울특별시,종로구,3076750,3.01,2137,3.12
4,2018,07,05,5,W01,서울특별시,종로구,2982050,2.92,2071,3.02
5,2018,07,06,6,W01,서울특별시,종로구,2810150,2.75,1998,2.91
6,2018,07,07,7,W01,서울특별시,종로구,2942950,2.88,1995,2.91
7,2018,07,08,1,W01,서울특별시,종로구,3257500,3.19,2027,2.96
8,2018,07,09,2,W01,서울특별시,종로구,2977150,2.91,1953,2.85
9,2018,07,10,3,W01,서울특별시,종로구,3171200,3.1,2205,3.22
0,2018,07,01,1,W02,서울특별시,중구,7480600,3.27,5072,2.84
1,2018,07,02,2,W02,서울특별시,중구,7922650,3.46,5803,3.25
2,2018,07,03,3,W02,서울특별시,중구,7578050,3.31,5826,3.27
3,2018,07,04,4,W02,서울특별시,중구,6769000,2.96,5687,3.19
4,2018,07,05,5,W02,서울특별시,중구,6600150,2.88,5396,3.03
5,2018,07,06,6,W02,서울특별시,중구,6330550,2.77,5294,2.97
6,2018,07,07,7,W02,서울특별시,중구,7341750,3.21,5532,3.1
7,2018,07,08,1,W02,서울특별시,중구,7269800,3.18,5316,2.98
8,2018,07,09,2,W02,서울특별시,중구,6671300,2.91,5256,2.95
9,2018,07,10,3,W02,서울특별시,중구,6668800,2.91,5532,3.1
0,2018,07,01,1,W03,서울특별시,용산구,174450,2.63,136,2.46
1,2018,07,02,2,W03,서울특별시,용산구,273200,4.11,191,3.45
2,2018,07,03,3,W03,서울특별시,용산구,244950,3.69,214,3.86
3,2018,07,04,4,W03,서울특별시,용산구,213450,3.21,179,3.23
4,2018,07,05,5,W03,서울특별시,용산구,175350,2.64,170,3.07
5,2018,07,06,6,W03,서울특별시,용산구,191900,2.89,163,2.94
6,2018,07,07,7,W03,서울특별시,용산구,198750,2.99,164,2.96
7,2018,07,08,1,W03,서울특별시,용산구,245400,3.69,188,3.39
8,2018,07,09,2,W03,서울특별시,용산구,200650,3.02,169,3.05
9,2018,07,10,3,W03,서울특별시,용산구,219450,3.3,192,3.47
0,2018,07,01,1,W04,서울특별시,성동구,14263450,3.31,9474,2.95
1,2018,07,02,2,W04,서울특별시,성동구,15074550,3.5,10460,3.26
2,2018,07,03,3,W04,서울특별시,성동구,14447200,3.35,10931,3.4
3,2018,07,04,4,W04,서울특별시,성동구,13538350,3.14,10436,3.25
4,2018,07,05,5,W04,서울특별시,성동구,12430650,2.89,9777,3.04
5,2018,07,06,6,W04,서울특별시,성동구,12209800,2.83,9648,3.0
6,2018,07,07,7,W04,서울특별시,성동구,12745000,2.96,9319,2.9
7,2018,07,08,1,W04,서울특별시,성동구,13574800,3.15,9757,3.04
8,2018,07,09,2,W04,서울특별시,성동구,12380500,2.87,9137,2.85
9,2018,07,10,3,W04,서울특별시,성동구,13116900,3.04,10091,3.14
0,2018,07,01,1,W05,서울특별시,광진구,6462050,3.02,4057,2.67
1,2018,07,02,2,W05,서울특별시,광진구,7797400,3.65,5072,3.34
2,2018,07,03,3,W05,서울특별시,광진구,7613150,3.56,5381,3.54
3,2018,07,04,4,W05,서울특별시,광진구,6694000,3.13,4976,3.27
4,2018,07,05,5,W05,서울특별시,광진구,6538300,3.06,4846,3.19
5,2018,07,06,6,W05,서울특별시,광진구,5808250,2.72,4468,2.94
6,2018,07,07,7,W05,서울특별시,광진구,6342700,2.97,4417,2.91
7,2018,07,08,1,W05,서울특별시,광진구,6581150,3.08,4297,2.83
8,2018,07,09,2,W05,서울특별시,광진구,6303500,2.95,4432,2.92
9,2018,07,10,3,W05,서울특별시,광진구,6932450,3.24,5055,3.33
0,2018,07,01,1,W06,서울특별시,동대문구,5578500,3.3,3414,2.89
1,2018,07,02,2,W06,서울특별시,동대문구,5805450,3.43,3649,3.09
2,2018,07,03,3,W06,서울특별시,동대문구,6006150,3.55,4125,3.49
3,2018,07,04,4,W06,서울특별시,동대문구,5322100,3.15,3950,3.34
4,2018,07,05,5,W06,서울특별시,동대문구,4693150,2.77,3425,2.9
5,2018,07,06,6,W06,서울특별시,동대문구,4508500,2.66,3413,2.89
6,2018,07,07,7,W06,서울특별시,동대문구,5117900,3.03,3501,2.96
7,2018,07,08,1,W06,서울특별시,동대문구,5430250,3.21,3500,2.96
