,disYear,disMonth,disDate,disDay,cityCode,citySidoName,citySggName,disQuantity,disQuantityRate,disCount,disCountRate
0,2022,04,01,6,W01,서울특별시,종로구,3544800,3.23,2657,3.25
1,2022,04,02,7,W01,서울특별시,종로구,3517100,3.2,2599,3.18
2,2022,04,03,1,W01,서울특별시,종로구,4183000,3.81,2952,3.61
3,2022,04,04,2,W01,서울특별시,종로구,4130800,3.76,2922,3.58
4,2022,04,05,3,W01,서울특별시,종로구,3708550,3.38,2710,3.32
5,2022,04,06,4,W01,서울특별시,종로구,3350150,3.05,2526,3.09
6,2022,04,07,5,W01,서울특별시,종로구,3271950,2.98,2479,3.04
7,2022,04,08,6,W01,서울특별시,종로구,3495150,3.18,2648,3.24
8,2022,04,09,7,W01,서울특별시,종로구,3383950,3.08,2499,3.06
9,2022,04,10,1,W01,서울특별시,종로구,4234800,3.86,3001,3.67
0,2022,04,01,6,W02,서울특별시,중구,5053750,2.97,4177,2.96
1,2022,04,02,7,W02,서울특별시,중구,5714700,3.36,4492,3.18
2,2022,04,03,1,W02,서울특별시,중구,7269250,4.27,5604,3.97
3,2022,04,04,2,W02,서울특별시,중구,6039150,3.55,4948,3.5
4,2022,04,05,3,W02,서울특별시,중구,5112650,3.01,4280,3.03
5,2022,04,06,4,W02,서울특별시,중구,5133250,3.02,4420,3.13
6,2022,04,07,5,W02,서울특별시,중구,5392800,3.17,4596,3.26
7,2022,04,08,6,W02,서울특별시,중구,4953650,2.91,4330,3.07
8,2022,04,09,7,W02,서울특별시,중구,5519450,3.24,4418,3.13
9,2022,04,10,1,W02,서울특별시,중구,7113700,4.18,5609,3.97
0,2022,04,01,6,W03,서울특별시,용산구,924600,3.35,676,3.37
1,2022,04,02,7,W03,서울특별시,용산구,906700,3.29,650,3.24
2,2022,04,03,1,W03,서울특별시,용산구,1018250,3.69,765,3.81
3,2022,04,04,2,W03,서울특별시,용산구,997400,3.62,675,3.36
4,2022,04,05,3,W03,서울특별시,용산구,963800,3.49,689,3.43
5,2022,04,06,4,W03,서울특별시,용산구,921300,3.34,641,3.19
6,2022,04,07,5,W03,서울특별시,용산구,838000,3.04,650,3.24
7,2022,04,08,6,W03,서울특별시,용산구,780600,2.83,585,2.92
8,2022,04,09,7,W03,서울특별시,용산구,965400,3.5,682,3.4
9,2022,04,10,1,W03,서울특별시,용산구,975750,3.54,736,3.67
0,2022,04,01,6,W04,서울특별시,성동구,13504700,2.98,10439,3.04
1,2022,04,02,7,W04,서울특별시,성동구,13970250,3.08,10226,2.98
2,2022,04,03,1,W04,서울특별시,성동구,19159700,4.23,13547,3.94
3,2022,04,04,2,W04,서울특별시,성동구,16365450,3.61,11992,3.49
4,2022,04,05,3,W04,서울특별시,성동구,13713450,3.03,10501,3.06
5,2022,04,06,4,W04,서울특별시,성동구,14189050,3.13,11078,3.22
6,2022,04,07,5,W04,서울특별시,성동구,14678050,3.24,11212,3.26
7,2022,04,08,6,W04,서울특별시,성동구,13723550,3.03,10641,3.1
8,2022,04,09,7,W04,서울특별시,성동구,14119850,3.12,10212,2.97
9,2022,04,10,1,W04,서울특별시,성동구,19433450,4.29,13784,4.01
0,2022,04,01,6,W05,서울특별시,광진구,9441130,2.98,6777,3.11
1,2022,04,02,7,W05,서울특별시,광진구,10202320,3.22,6714,3.08
2,2022,04,03,1,W05,서울특별시,광진구,12419100,3.92,7972,3.65
3,2022,04,04,2,W05,서울특별시,광진구,11753530,3.71,7781,3.57
4,2022,04,05,3,W05,서울특별시,광진구,9607960,3.04,6809,3.12
5,2022,04,06,4,W05,서울특별시,광진구,9705250,3.07,6910,3.17
6,2022,04,07,5,W05,서울특별시,광진구,9912230,3.13,7029,3.22
7,2022,04,08,6,W05,서울특별시,광진구,9236920,2.92,6666,3.05
8,2022,04,09,7,W05,서울특별시,광진구,10524390,3.33,6896,3.16
9,2022,04,10,1,W05,서울특별시,광진구,12526150,3.96,8084,3.7
0,2022,04,01,6,W06,서울특별시,동대문구,14013200,3.04,10529,3.08
1,2022,04,02,7,W06,서울특별시,동대문구,14420400,3.12,10301,3.01
2,2022,04,03,1,W06,서울특별시,동대문구,19717550,4.27,13423,3.93
3,2022,04,04,2,W06,서울특별시,동대문구,16352750,3.54,11777,3.44
4,2022,04,05,3,W06,서울특별시,동대문구,13912350,3.01,10246,3.0
5,2022,04,06,4,W06,서울특별시,동대문구,14802550,3.21,11100,3.25
6,2022,04,07,5,W06,서울특별시,동대문구,14318600,3.1,10858,3.18
