,disYear,disMonth,disDate,disDay,cityCode,citySidoName,citySggName,disQuantity,disQuantityRate,disCount,disCountRate
0,2022,07,01,6,W01,서울특별시,종로구,4776300,3.52,3586,3.45
1,2022,07,02,7,W01,서울특별시,종로구,4479750,3.3,3290,3.17
2,2022,07,03,1,W01,서울특별시,종로구,5302950,3.91,3710,3.57
3,2022,07,04,2,W01,서울특별시,종로구,4683950,3.45,3557,3.43
4,2022,07,05,3,W01,서울특별시,종로구,4230200,3.12,3387,3.26
5,2022,07,06,4,W01,서울특별시,종로구,3969400,2.92,3112,3.0
6,2022,07,07,5,W01,서울특별시,종로구,4086250,3.01,3154,3.04
7,2022,07,08,6,W01,서울특별시,종로구,4037450,2.97,3289,3.17
8,2022,07,09,7,W01,서울특별시,종로구,4337400,3.19,3293,3.17
9,2022,07,10,1,W01,서울특별시,종로구,4980150,3.67,3579,3.45
10,2022,07,11,2,W01,서울특별시,종로구,4877850,3.59,3601,3.47
11,2022,07,12,3,W01,서울특별시,종로구,4316500,3.18,3459,3.33
12,2022,07,13,4,W01,서울특별시,종로구,3178400,2.34,2480,2.39
13,2022,07,14,5,W01,서울특별시,종로구,4425240,3.26,3551,3.42
14,2022,07,15,6,W01,서울특별시,종로구,4057500,2.99,3233,3.11
15,2022,07,16,7,W01,서울특별시,종로구,4537750,3.34,3274,3.15
16,2022,07,17,1,W01,서울특별시,종로구,5390050,3.97,3792,3.65
17,2022,07,18,2,W01,서울특별시,종로구,5031100,3.71,3704,3.57
18,2022,07,19,3,W01,서울특별시,종로구,4184450,3.08,3271,3.15
19,2022,07,20,4,W01,서울특별시,종로구,3930700,2.89,3210,3.09
20,2022,07,21,5,W01,서울특별시,종로구,3956550,2.91,3150,3.03
21,2022,07,22,6,W01,서울특별시,종로구,4033750,2.97,3273,3.15
22,2022,07,23,7,W01,서울특별시,종로구,3891100,2.87,2973,2.86
23,2022,07,24,1,W01,서울특별시,종로구,5248200,3.87,3755,3.62
24,2022,07,25,2,W01,서울특별시,종로구,4825100,3.55,3650,3.52
25,2022,07,26,3,W01,서울특별시,종로구,4201150,3.09,3372,3.25
26,2022,07,27,4,W01,서울특별시,종로구,4289450,3.16,3345,3.22
27,2022,07,28,5,W01,서울특별시,종로구,4084850,3.01,3234,3.11
28,2022,07,29,6,W01,서울특별시,종로구,4209400,3.1,3297,3.18
29,2022,07,30,7,W01,서울특별시,종로구,4106200,3.02,3141,3.03
30,2022,07,31,1,W01,서울특별시,종로구,4127750,3.04,3102,2.99
0,2022,07,01,6,W02,서울특별시,중구,6614950,3.15,5777,3.27
1,2022,07,02,7,W02,서울특별시,중구,7193500,3.43,5502,3.11
2,2022,07,03,1,W02,서울특별시,중구,8730200,4.16,6594,3.73
3,2022,07,04,2,W02,서울특별시,중구,7449000,3.55,6065,3.43
4,2022,07,05,3,W02,서울특별시,중구,6137850,2.92,5349,3.03
5,2022,07,06,4,W02,서울특별시,중구,6380050,3.04,5608,3.17
6,2022,07,07,5,W02,서울특별시,중구,6194600,2.95,5594,3.16
7,2022,07,08,6,W02,서울특별시,중구,6052400,2.88,5278,2.99
8,2022,07,09,7,W02,서울특별시,중구,6837950,3.26,5622,3.18
9,2022,07,10,1,W02,서울특별시,중구,8692800,4.14,6684,3.78
10,2022,07,11,2,W02,서울특별시,중구,7056650,3.36,5947,3.36
11,2022,07,12,3,W02,서울특별시,중구,6329050,3.01,5585,3.16
12,2022,07,13,4,W02,서울특별시,중구,4860350,2.31,4295,2.43
13,2022,07,14,5,W02,서울특별시,중구,6986700,3.33,6224,3.52
14,2022,07,15,6,W02,서울특별시,중구,6194850,2.95,5332,3.02
15,2022,07,16,7,W02,서울특별시,중구,7284400,3.47,5641,3.19
16,2022,07,17,1,W02,서울특별시,중구,8676500,4.13,6777,3.83
17,2022,07,18,2,W02,서울특별시,중구,7253450,3.45,6070,3.43
18,2022,07,19,3,W02,서울특별시,중구,5791500,2.76,5057,2.86
19,2022,07,20,4,W02,서울특별시,중구,6200400,2.95,5577,3.16
20,2022,07,21,5,W02,서울특별시,중구,5970200,2.84,5422,3.07
21,2022,07,22,6,W02,서울특별시,중구,6097400,2.9,5414,3.06
22,2022,07,23,7,W02,서울특별시,중구,6421400,3.06,5120,2.9
23,2022,07,24,1,W02,서울특별시,중구,8668400,4.13,6807,3.85
24,2022,07,25,2,W02,서울특별시,중구,6849400,3.26,5935,3.36
25,2022,07,26,3,W02,서울특별시,중구,6319850,3.01,5514,3.12
26,2022,07,27,4,W02,서울특별시,중구,6478650,3.09,5790,3.28
27,2022,07,28,5,W02,서울특별시,중구,6357900,3.03,5541,3.13
28,2022,07,29,6,W02,서울특별시,중구,6257200,2.98,5586,3.16
29,2022,07,30,7,W02,서울특별시,중구,6556900,3.12,5299,3.0
30,2022,07,31,1,W02,서울특별시,중구,7107000,3.38,5745,3.25
0,2022,07,01,6,W03,서울특별시,용산구,1874950,3.19,1350,3.08
1,2022,07,02,7,W03,서울특별시,용산구,1823350,3.1,1347,3.07
2,2022,07,03,1,W03,서울특별시,용산구,2151150,3.65,1592,3.63
3,2022,07,04,2,W03,서울특별시,용산구,2040150,3.47,1452,3.31
4,2022,07,05,3,W03,서울특별시,용산구,1918250,3.26,1406,3.21
5,2022,07,06,4,W03,서울특별시,용산구,1781200,3.03,1319,3.01
6,2022,07,07,5,W03,서울특별시,용산구,1761150,2.99,1427,3.26
7,2022,07,08,6,W03,서울특별시,용산구,1814550,3.08,1406,3.21
8,2022,07,09,7,W03,서울특별시,용산구,1805700,3.07,1352,3.09
9,2022,07,10,1,W03,서울특별시,용산구,2097450,3.56,1544,3.52
10,2022,07,11,2,W03,서울특별시,용산구,2049000,3.48,1471,3.36
11,2022,07,12,3,W03,서울특별시,용산구,1858800,3.16,1424,3.25
12,2022,07,13,4,W03,서울특별시,용산구,1568650,2.66,1113,2.54
13,2022,07,14,5,W03,서울특별시,용산구,2064000,3.51,1595,3.64
14,2022,07,15,6,W03,서울특별시,용산구,1801000,3.06,1391,3.18
15,2022,07,16,7,W03,서울특별시,용산구,1909250,3.24,1366,3.12
16,2022,07,17,1,W03,서울특별시,용산구,2019200,3.43,1537,3.51
17,2022,07,18,2,W03,서울특별시,용산구,2147500,3.65,1556,3.55
18,2022,07,19,3,W03,서울특별시,용산구,1769800,3.01,1357,3.1
19,2022,07,20,4,W03,서울특별시,용산구,1585250,2.69,1228,2.8
20,2022,07,21,5,W03,서울특별시,용산구,1960350,3.33,1454,3.32
21,2022,07,22,6,W03,서울특별시,용산구,1846950,3.14,1382,3.15
22,2022,07,23,7,W03,서울특별시,용산구,1745050,2.96,1338,3.05
23,2022,07,24,1,W03,서울특별시,용산구,2107250,3.58,1572,3.59
24,2022,07,25,2,W03,서울특별시,용산구,2071000,3.52,1495,3.41
25,2022,07,26,3,W03,서울특별시,용산구,1967000,3.34,1429,3.26
26,2022,07,27,4,W03,서울특별시,용산구,1754800,2.98,1330,3.04
27,2022,07,28,5,W03,서울특별시,용산구,1810450,3.08,1465,3.34
28,2022,07,29,6,W03,서울특별시,용산구,1874250,3.18,1343,3.07
29,2022,07,30,7,W03,서울특별시,용산구,2037500,3.46,1401,3.2
30,2022,07,31,1,W03,서울특별시,용산구,1848900,3.14,1368,3.12
0,2022,07,01,6,W04,서울특별시,성동구,19195550,3.38,15002,3.39
1,2022,07,02,7,W04,서울특별시,성동구,18900450,3.33,13746,3.11
2,2022,07,03,1,W04,서울특별시,성동구,24320550,4.29,17140,3.87
3,2022,07,04,2,W04,서울특별시,성동구,19087600,3.36,14781,3.34
4,2022,07,05,3,W04,서울특별시,성동구,17402900,3.07,13962,3.15
5,2022,07,06,4,W04,서울특별시,성동구,16985250,2.99,13957,3.15
6,2022,07,07,5,W04,서울특별시,성동구,17098700,3.01,14011,3.17
7,2022,07,08,6,W04,서울특별시,성동구,16803800,2.96,13570,3.07
8,2022,07,09,7,W04,서울특별시,성동구,18265150,3.22,13817,3.12
9,2022,07,10,1,W04,서울특별시,성동구,23431550,4.13,16756,3.79
10,2022,07,11,2,W04,서울특별시,성동구,18968200,3.34,14775,3.34
11,2022,07,12,3,W04,서울특별시,성동구,17402500,3.07,14307,3.23
12,2022,07,13,4,W04,서울특별시,성동구,13568900,2.39,10794,2.44
13,2022,07,14,5,W04,서울특별시,성동구,19424000,3.42,15692,3.54
14,2022,07,15,6,W04,서울특별시,성동구,16591850,2.92,13412,3.03
15,2022,07,16,7,W04,서울특별시,성동구,18147750,3.2,13285,3.0
16,2022,07,17,1,W04,서울특별시,성동구,24487800,4.32,17492,3.95
17,2022,07,18,2,W04,서울특별시,성동구,19095350,3.36,14839,3.35
18,2022,07,19,3,W04,서울특별시,성동구,16041700,2.83,13330,3.01
19,2022,07,20,4,W04,서울특별시,성동구,17263500,3.04,14147,3.2
20,2022,07,21,5,W04,서울특별시,성동구,16436800,2.9,13666,3.09
21,2022,07,22,6,W04,서울특별시,성동구,16616600,2.93,13624,3.08
22,2022,07,23,7,W04,서울특별시,성동구,16134650,2.84,12170,2.75
23,2022,07,24,1,W04,서울특별시,성동구,23492400,4.14,17152,3.87
24,2022,07,25,2,W04,서울특별시,성동구,18827000,3.32,14863,3.36
25,2022,07,26,3,W04,서울특별시,성동구,17158050,3.02,13870,3.13
26,2022,07,27,4,W04,서울특별시,성동구,17430450,3.07,14152,3.2
27,2022,07,28,5,W04,서울특별시,성동구,16689000,2.94,13851,3.13
28,2022,07,29,6,W04,서울특별시,성동구,16037850,2.83,13351,3.02
29,2022,07,30,7,W04,서울특별시,성동구,17020200,3.0,13082,2.96
30,2022,07,31,1,W04,서울특별시,성동구,19153150,3.38,14069,3.18
0,2022,07,01,6,W05,서울특별시,광진구,13015890,3.29,9393,3.34
1,2022,07,02,7,W05,서울특별시,광진구,13409260,3.39,8880,3.16
2,2022,07,03,1,W05,서울특별시,광진구,15298860,3.86,9990,3.55
3,2022,07,04,2,W05,서울특별시,광진구,13807570,3.49,9536,3.39
4,2022,07,05,3,W05,서울특별시,광진구,12007840,3.03,8989,3.2
5,2022,07,06,4,W05,서울특별시,광진구,11575310,2.92,8589,3.06
6,2022,07,07,5,W05,서울특별시,광진구,11937130,3.01,9029,3.21
7,2022,07,08,6,W05,서울특별시,광진구,11462550,2.89,8658,3.08
8,2022,07,09,7,W05,서울특별시,광진구,13243800,3.34,9032,3.21
9,2022,07,10,1,W05,서울특별시,광진구,15701180,3.96,10103,3.59
10,2022,07,11,2,W05,서울특별시,광진구,13610570,3.44,9696,3.45
11,2022,07,12,3,W05,서울특별시,광진구,12579920,3.18,9368,3.33
12,2022,07,13,4,W05,서울특별시,광진구,9476110,2.39,6799,2.42
13,2022,07,14,5,W05,서울특별시,광진구,13042410,3.29,9770,3.48
14,2022,07,15,6,W05,서울특별시,광진구,11781810,2.97,8656,3.08
15,2022,07,16,7,W05,서울특별시,광진구,12823090,3.24,8555,3.04
16,2022,07,17,1,W05,서울특별시,광진구,16296860,4.11,10530,3.75
17,2022,07,18,2,W05,서울특별시,광진구,13566790,3.43,9551,3.4
18,2022,07,19,3,W05,서울특별시,광진구,12154690,3.07,9018,3.21
19,2022,07,20,4,W05,서울특별시,광진구,11796570,2.98,8795,3.13
20,2022,07,21,5,W05,서울특별시,광진구,11261690,2.84,8523,3.03
21,2022,07,22,6,W05,서울특별시,광진구,11656840,2.94,8593,3.06
22,2022,07,23,7,W05,서울특별시,광진구,11849320,2.99,8220,2.92
23,2022,07,24,1,W05,서울특별시,광진구,15340130,3.87,10324,3.67
24,2022,07,25,2,W05,서울특별시,광진구,13523480,3.41,9454,3.36
25,2022,07,26,3,W05,서울특별시,광진구,12798020,3.23,9404,3.35
26,2022,07,27,4,W05,서울특별시,광진구,12269730,3.1,9003,3.2
27,2022,07,28,5,W05,서울특별시,광진구,12304260,3.11,9039,3.22
28,2022,07,29,6,W05,서울특별시,광진구,11622400,2.93,8697,3.09
29,2022,07,30,7,W05,서울특별시,광진구,12429730,3.14,8578,3.05
30,2022,07,31,1,W05,서울특별시,광진구,12426620,3.14,8341,2.97
0,2022,07,01,6,W06,서울특별시,동대문구,19661454,3.41,15566,3.45
1,2022,07,02,7,W06,서울특별시,동대문구,18821119,3.26,13961,3.1
2,2022,07,03,1,W06,서울특별시,동대문구,23677609,4.11,16609,3.68
3,2022,07,04,2,W06,서울특별시,동대문구,19718142,3.42,15215,3.38
4,2022,07,05,3,W06,서울특별시,동대문구,17457010,3.03,14105,3.13
5,2022,07,06,4,W06,서울특별시,동대문구,17325669,3.0,14326,3.18
6,2022,07,07,5,W06,서울특별시,동대문구,16892735,2.93,13959,3.1
7,2022,07,08,6,W06,서울특별시,동대문구,17271408,2.99,14182,3.15
8,2022,07,09,7,W06,서울특별시,동대문구,18511012,3.21,13950,3.09
9,2022,07,10,1,W06,서울특별시,동대문구,23591382,4.09,16793,3.73
10,2022,07,11,2,W06,서울특별시,동대문구,19483202,3.38,15165,3.36
11,2022,07,12,3,W06,서울특별시,동대문구,17572270,3.05,14386,3.19
12,2022,07,13,4,W06,서울특별시,동대문구,13879217,2.41,10856,2.41
13,2022,07,14,5,W06,서울특별시,동대문구,19946492,3.46,16092,3.57
14,2022,07,15,6,W06,서울특별시,동대문구,17136725,2.97,14110,3.13
15,2022,07,16,7,W06,서울특별시,동대문구,18057234,3.13,13259,2.94
16,2022,07,17,1,W06,서울특별시,동대문구,24610726,4.27,17523,3.89
17,2022,07,18,2,W06,서울특별시,동대문구,19533762,3.39,15070,3.34
18,2022,07,19,3,W06,서울특별시,동대문구,16985242,2.94,13761,3.05
19,2022,07,20,4,W06,서울특별시,동대문구,17166355,2.98,14422,3.2
20,2022,07,21,5,W06,서울특별시,동대문구,16519811,2.86,13619,3.02
21,2022,07,22,6,W06,서울특별시,동대문구,16845009,2.92,14067,3.12
22,2022,07,23,7,W06,서울특별시,동대문구,16750004,2.9,12789,2.84
23,2022,07,24,1,W06,서울특별시,동대문구,23886042,4.14,17502,3.88
24,2022,07,25,2,W06,서울특별시,동대문구,19249453,3.34,15114,3.35
25,2022,07,26,3,W06,서울특별시,동대문구,17321183,3.0,13926,3.09
26,2022,07,27,4,W06,서울특별시,동대문구,17848490,3.09,14754,3.27
27,2022,07,28,5,W06,서울특별시,동대문구,17534830,3.04,14202,3.15
28,2022,07,29,6,W06,서울특별시,동대문구,17323769,3.0,14012,3.11
29,2022,07,30,7,W06,서울특별시,동대문구,17433074,3.02,13523,3.0
30,2022,07,31,1,W06,서울특별시,동대문구,18757498,3.25,13914,3.09
0,2022,07,01,6,W07,서울특별시,중랑구,22227250,3.47,17350,3.46
1,2022,07,02,7,W07,서울특별시,중랑구,21378250,3.34,15836,3.16
2,2022,07,03,1,W07,서울특별시,중랑구,26666350,4.17,18714,3.74
3,2022,07,04,2,W07,서울특별시,중랑구,21881120,3.42,16824,3.36
4,2022,07,05,3,W07,서울특별시,중랑구,19990640,3.12,15821,3.16
5,2022,07,06,4,W07,서울특별시,중랑구,18886200,2.95,15517,3.1
6,2022,07,07,5,W07,서울특별시,중랑구,18803410,2.94,15472,3.09
7,2022,07,08,6,W07,서울특별시,중랑구,18682850,2.92,15441,3.08
8,2022,07,09,7,W07,서울특별시,중랑구,21181700,3.31,15906,3.17
9,2022,07,10,1,W07,서울특별시,중랑구,25264600,3.95,18337,3.66
10,2022,07,11,2,W07,서울특별시,중랑구,22307400,3.49,17352,3.46
11,2022,07,12,3,W07,서울특별시,중랑구,19152950,2.99,15931,3.18
12,2022,07,13,4,W07,서울특별시,중랑구,15160850,2.37,11888,2.37
13,2022,07,14,5,W07,서울특별시,중랑구,21942750,3.43,17625,3.52
14,2022,07,15,6,W07,서울특별시,중랑구,19545050,3.05,15623,3.12
15,2022,07,16,7,W07,서울특별시,중랑구,21097150,3.3,15437,3.08
16,2022,07,17,1,W07,서울특별시,중랑구,26764150,4.18,19301,3.85
17,2022,07,18,2,W07,서울특별시,중랑구,21765900,3.4,17123,3.42
18,2022,07,19,3,W07,서울특별시,중랑구,19116550,2.99,15630,3.12
19,2022,07,20,4,W07,서울특별시,중랑구,18584500,2.9,15600,3.11
20,2022,07,21,5,W07,서울특별시,중랑구,17840900,2.79,14429,2.88
21,2022,07,22,6,W07,서울특별시,중랑구,18606300,2.91,15366,3.07
22,2022,07,23,7,W07,서울특별시,중랑구,18606250,2.91,14520,2.9
23,2022,07,24,1,W07,서울특별시,중랑구,26085600,4.08,19204,3.83
24,2022,07,25,2,W07,서울특별시,중랑구,21584900,3.37,17014,3.4
25,2022,07,26,3,W07,서울특별시,중랑구,19620600,3.07,15868,3.17
26,2022,07,27,4,W07,서울특별시,중랑구,19212600,3.0,15926,3.18
27,2022,07,28,5,W07,서울특별시,중랑구,18605500,2.91,15400,3.07
28,2022,07,29,6,W07,서울특별시,중랑구,18082950,2.83,15282,3.05
29,2022,07,30,7,W07,서울특별시,중랑구,20159150,3.15,15431,3.08
