,disYear,disMonth,disDate,disDay,cityCode,citySidoName,citySggName,disQuantity,disQuantityRate,disCount,disCountRate
0,2021,01,01,6,W01,서울특별시,종로구,3623900,3.17,2444,3.17
1,2021,01,02,7,W01,서울특별시,종로구,3929600,3.44,2595,3.36
2,2021,01,03,1,W01,서울특별시,종로구,4197450,3.67,2757,3.57
3,2021,01,04,2,W01,서울특별시,종로구,4223150,3.69,2680,3.47
4,2021,01,05,3,W01,서울특별시,종로구,3748700,3.28,2598,3.36
5,2021,01,06,4,W01,서울특별시,종로구,3565600,3.12,2446,3.17
6,2021,01,07,5,W01,서울특별시,종로구,2801150,2.45,1984,2.57
7,2021,01,08,6,W01,서울특별시,종로구,3230800,2.82,2141,2.77
8,2021,01,09,7,W01,서울특별시,종로구,3435950,3.0,2294,2.97
9,2021,01,10,1,W01,서울특별시,종로구,4334700,3.79,2756,3.57
0,2021,01,01,6,W02,서울특별시,중구,6283200,3.29,4389,3.09
1,2021,01,02,7,W02,서울특별시,중구,6971050,3.65,4884,3.44
2,2021,01,03,1,W02,서울특별시,중구,8542200,4.48,5925,4.17
3,2021,01,04,2,W02,서울특별시,중구,6494700,3.4,4811,3.38
4,2021,01,05,3,W02,서울특별시,중구,5480900,2.87,4289,3.02
5,2021,01,06,4,W02,서울특별시,중구,5568700,2.92,4329,3.05
6,2021,01,07,5,W02,서울특별시,중구,4638800,2.43,3571,2.51
7,2021,01,08,6,W02,서울특별시,중구,5089100,2.67,3830,2.69
8,2021,01,09,7,W02,서울특별시,중구,6121750,3.21,4380,3.08
9,2021,01,10,1,W02,서울특별시,중구,8474450,4.44,5796,4.08
0,2021,01,01,6,W03,서울특별시,용산구,617550,3.61,431,3.37
1,2021,01,02,7,W03,서울특별시,용산구,625000,3.65,450,3.52
2,2021,01,03,1,W03,서울특별시,용산구,638100,3.73,472,3.69
3,2021,01,04,2,W03,서울특별시,용산구,637050,3.72,447,3.49
4,2021,01,05,3,W03,서울특별시,용산구,526750,3.08,397,3.1
5,2021,01,06,4,W03,서울특별시,용산구,500250,2.92,398,3.11
6,2021,01,07,5,W03,서울특별시,용산구,437600,2.56,340,2.66
7,2021,01,08,6,W03,서울특별시,용산구,481800,2.82,367,2.87
8,2021,01,09,7,W03,서울특별시,용산구,568750,3.33,411,3.21
9,2021,01,10,1,W03,서울특별시,용산구,632450,3.7,444,3.47
0,2021,01,01,6,W04,서울특별시,성동구,16813850,3.28,10775,3.1
1,2021,01,02,7,W04,서울특별시,성동구,17495300,3.42,11056,3.18
2,2021,01,03,1,W04,서울특별시,성동구,22256900,4.35,14121,4.07
