,disYear,disMonth,disDate,disDay,cityCode,citySidoName,citySggName,disQuantity,disQuantityRate,disCount,disCountRate
0,2019,05,01,4,W01,서울특별시,종로구,3314000,3.15,2368,3.2
1,2019,05,02,5,W01,서울특별시,종로구,3319750,3.15,2353,3.18
2,2019,05,03,6,W01,서울특별시,종로구,3112150,2.95,2244,3.03
3,2019,05,04,7,W01,서울특별시,종로구,3085250,2.93,2163,2.92
4,2019,05,05,1,W01,서울특별시,종로구,3289500,3.12,2137,2.89
5,2019,05,06,2,W01,서울특별시,종로구,4062700,3.86,2665,3.6
6,2019,05,07,3,W01,서울특별시,종로구,3543200,3.36,2397,3.24
7,2019,05,08,4,W01,서울특별시,종로구,2776850,2.64,2017,2.72
8,2019,05,09,5,W01,서울특별시,종로구,3017950,2.86,2216,2.99
9,2019,05,10,6,W01,서울특별시,종로구,2973300,2.82,2240,3.03
0,2019,05,01,4,W02,서울특별시,중구,6189600,3.17,4803,3.19
1,2019,05,02,5,W02,서울특별시,중구,6134600,3.15,4660,3.09
2,2019,05,03,6,W02,서울특별시,중구,5519700,2.83,4542,3.01
3,2019,05,04,7,W02,서울특별시,중구,6129450,3.14,4601,3.05
4,2019,05,05,1,W02,서울특별시,중구,6784000,3.48,4941,3.28
5,2019,05,06,2,W02,서울특별시,중구,7040550,3.61,5191,3.44
6,2019,05,07,3,W02,서울특별시,중구,5997950,3.08,4627,3.07
7,2019,05,08,4,W02,서울특별시,중구,4907400,2.52,3884,2.58
8,2019,05,09,5,W02,서울특별시,중구,5673850,2.91,4549,3.02
9,2019,05,10,6,W02,서울특별시,중구,5610250,2.88,4535,3.01
0,2019,05,01,4,W03,서울특별시,용산구,179200,3.15,135,2.93
1,2019,05,02,5,W03,서울특별시,용산구,181000,3.18,158,3.43
2,2019,05,03,6,W03,서울특별시,용산구,163650,2.88,119,2.58
3,2019,05,04,7,W03,서울특별시,용산구,170450,3.0,141,3.06
4,2019,05,05,1,W03,서울특별시,용산구,175850,3.09,146,3.17
5,2019,05,06,2,W03,서울특별시,용산구,206700,3.63,156,3.38
6,2019,05,07,3,W03,서울특별시,용산구,220100,3.87,175,3.79
7,2019,05,08,4,W03,서울특별시,용산구,145150,2.55,126,2.73
8,2019,05,09,5,W03,서울특별시,용산구,167450,2.94,136,2.95
9,2019,05,10,6,W03,서울특별시,용산구,155950,2.74,124,2.69
